ts,17-,18-24,25-34,35-44,45-54,55-64,65+
2016-02-02 02:00:00,9300,3550,8175,4225,1600,1075,2600
2016-02-02 03:00:00,10573,4524,11428,6042,2242,988,1348
2016-02-02 04:00:00,10751,3622,4895,4573,2033,877,2098
2016-02-02 05:00:00,7760,2806,3851,2834,1305,753,749
2016-02-02 06:00:00,4176,2955,3376,2069,1179,465,547
2016-02-02 07:00:00,3658,1771,2797,1632,763,282,522
2016-02-02 08:00:00,2142,1819,2279,920,647,172,230
2016-02-02 09:00:00,3113,1677,2133,1427,1143,486,558
2016-02-02 10:00:00,2559,2133,2305,1112,1411,3457,813
2016-02-02 11:00:00,2549,1628,2073,1172,999,914,322
2016-02-02 12:00:00,3950,3134,3577,2127,1071,1297,407
2016-02-02 13:00:00,3770,2497,4035,2550,1560,946,607
2016-02-02 14:00:00,4083,2198,4259,2801,2066,943,710
2016-02-02 15:00:00,4743,3358,4139,2605,1514,899,1073
2016-02-02 16:00:00,5029,3260,3706,2934,1862,955,1170
2016-02-02 17:00:00,5082,2904,3198,2663,1828,1171,797
2016-02-02 18:00:00,3615,2224,3000,2442,1530,817,515
2016-02-02 19:00:00,4280,1940,2650,2006,1162,691,708
2016-02-02 20:00:00,3032,1662,2369,1714,1009,487,593
2016-02-02 21:00:00,2447,1386,2475,2207,910,371,332
2016-02-02 22:00:00,1696,1073,1852,1056,660,284,358
2016-02-02 23:00:00,1373,832,1241,663,468,204,200
2016-02-03 00:00:00,1046,568,944,486,303,176,145
2016-02-03 01:00:00,547,283,311,273,138,59,67
2016-02-03 02:00:00,43,56,49,19,7,4,4
