ts,F,M
2016-01-25 17:00:00,12744,17760
2016-01-25 18:00:00,14460,20270
2016-01-25 19:00:00,14724,16297
2016-01-25 20:00:00,13761,16980
2016-01-25 21:00:00,13604,19522
2016-01-25 22:00:00,14563,20288
2016-01-25 23:00:00,12059,17100
2016-01-26 00:00:00,11186,18543
2016-01-26 01:00:00,11453,15985
2016-01-26 02:00:00,9880,16271
2016-01-26 03:00:00,7738,15337
2016-01-26 04:00:00,6099,10889
2016-01-26 05:00:00,4634,8008
2016-01-26 06:00:00,3176,4435
2016-01-26 07:00:00,2298,3545
2016-01-26 08:00:00,2310,2748
2016-01-26 09:00:00,2033,2339
2016-01-26 10:00:00,1553,1869
2016-01-26 11:00:00,2010,2088
2016-01-26 12:00:00,1826,2433
2016-01-26 13:00:00,2261,2322
2016-01-26 14:00:00,1621,2046
2016-01-26 15:00:00,592,744
2016-01-26 16:00:00,679,821
2016-01-26 17:00:00,63,70
